name,phone,email,segment
Sandton Estate HOA,+27821112201,ops@sandtonestate.co.za,Residential
Waterfall Country Estate,+27821112202,security@waterfallestate.co.za,Residential
MetroMall Facilities,+27821112203,facilities@metromall.co.za,Commercial
Rosebank Office Park,+27821112204,manager@rosebankpark.co.za,Commercial
Greenstone Retail Centre,+27821112205,ops@greenstoneretail.co.za,Commercial
Bryanston Gardens Body Corporate,+27821112206,trustees@bryanstongardens.co.za,Residential
Midrand Logistics Hub,+27821112207,site@midrandlogistics.co.za,Industrial
Kyalami Business Park,+27821112208,admin@kyalamipark.co.za,Commercial
Fourways Lifestyle Estate,+27821112209,hoa@fourwayslifestyle.co.za,Residential
Centurion Mall Management,+27821112210,facilities@centurionmall.co.za,Commercial
Pretoria East Warehousing,+27821112211,ops@ptaeastwarehouse.co.za,Industrial
Morningside Medical Suites,+27821112212,practice@morningsidemed.co.za,Commercial
Dainfern Valley Estate,+27821112213,security@dainfernvalley.co.za,Residential
Sunninghill Industrial Units,+27821112214,site@sunninghillind.co.za,Industrial
Melrose Arch Precinct,+27821112215,ops@melrosearch.co.za,Commercial
